From	To
B8ZZM0	51652
B8ZZX5	100526767
B8ZZX5	51652
B9A045	25791
B9EG75	4216
B9EG88	7049
B9EGH4	5335
B9EGH5	5330
B9EGH6	7057
B9EGL6	4225
B9EGN5	4734
B9EGQ1	3675
B9EGR8	56034
B9EGV3	57154
B9EH71	135112
B9EIJ6	51196
B9EIQ5	1739
B9EKU8	3566
B9UN80	50943
B9VI81	3563
B9X074	6934
C0IMW4	6605
C0IMW5	6605
C0IMW7	6605
C0JKD3	367
C0JKD4	367
C0JYZ0	6272
C0LTP2	115727
C0LTP3	115727
C0LTP4	115727
C0LTP5	115727
C0LTP7	115727
C1KBH8	2260
C3RX61	4868
C4AM96	3655
C4AMA1	405
C5HTZ0	6337
C5IFA0	3791
C5J4B4	8554
C6GIJ7	23396
C6GIJ8	23396
C6KEF2	57521
C6ZRJ8	6934
C6ZRK0	6934
C7C5T6	27040
C7E541	25898
C7E542	25898
C7E543	25898
C7F7I3	10855
C7F7I4	10855
C7G533	9212
C7G534	9212
C7G535	9212
C9J378	7249
C9J3A4	2770
C9J416	115727
C9J497	983
C9J521	7161
C9J575	3371
C9J6D9	3371
C9J7B0	1124
C9J7P1	28988
C9J848	3371
C9J9I7	729238
C9JA97	3694
C9JAF2	3481
C9JEX1	3827
C9JFK5	8437
C9JGC4	147841
C9JHZ1	115727
C9JJ89	2395
C9JL99	10524
C9JMD3	3679
C9JMZ6	3679
C9JPJ4	4363
C9JPZ6	23129
C9JQ37	8997
C9JS87	9734
C9JT37	2115
C9JZV2	26230
D1CS41	7096
D1CS45	7097
D1CS48	7097
D1CS49	7097
D1CS52	7099
D1CS53	7099
D1MDP1	5618
D2DU64	100506658
D2DU65	100506658
D2IGC0	100506658
D2IGC1	100506658
D2IYK4	5460
D2KFR8	6772
D3DN70	91653
D3DN97	4638
D3DNE3	4690
D3DNG1	7029
D3DNI9	83939
D3DNL9	286827
D3DNN5	11235
D3DNP1	5274
D3DNQ6	23043
D3DNR9	86
D3DNT0	1857
D3DNT4	1981
D3DNT5	1981
D3DNV2	5984
D3DNV5	604
D3DNV6	4026
D3DNW0	3556
D3DNZ9	4086
D3DP03	1909
D3DP14	2243
D3DP15	2243
D3DP53	836
D3DPA1	10254
D3DPE4	7456
D3DPE8	1134
D3DPE9	1386
D3DPG8	3685
D3DPH4	1281
D3DPI7	6772
D3DPJ1	991
D3DPJ2	2060
D3DPJ5	3925
D3DPL4	6548
D3DPM9	2035
D3DPN0	2035
D3DPP0	8073
D3DPQ3	5928
D3DPV9	4802
D3DPX0	6513
D3DQ21	8569
D3DQ57	7398
D3DQ98	6500
D3DQB6	10112
D3DQE3	64411
D3DQF2	2246
D3DQF4	2908
D3DQF7	5521
D3DQF8	5521
D3DQG1	1452
D3DQG2	1436
D3DQG3	972
D3DQG4	972
D3DQJ3	26999
D3DQK7	900
D3DQL6	4869
D3DQQ1	9776
D3DQQ2	9776
D3DQR1	10062
D3DQR4	8567
D3DQT2	322
D3DQU0	3611
D3DQV0	7465
D3DQV3	133
D3DQY3	3939
D3DQZ2	627
D3DR07	847
D3DR12	960
D3DR13	960
D3DR16	7189
D3DR42	10580
D3DR83	4791
D3DRB8	840
D3DRC9	10935
D3DRE9	9184
D3DRH4	6595
D3DRH5	6595
D3DRH6	7436
D3DRK1	1029
D3DRK5	7010
D3DRK9	54840
D3DRL0	54840
D3DRL3	360
D3DRQ5	6461
D3DRU5	8027
D3DRX1	1326
D3DRX9	3688
D3DRY3	3688
D3DRY4	3688
D3DRY5	3688
D3DRY6	8453
D3DS07	57447
D3DS10	57447
D3DS22	3183
D3DS33	10419
D3DS37	84962
D3DS69	5875
D3DS75	196883
D3DS89	394
D3DS90	394
D3DSB4	6655
D3DSD1	351
D3DSD2	351
D3DSD3	351
D3DSE4	6647
D3DSE8	3455
D3DSE9	3455
D3DSF0	3454
D3DSG1	861
D3DSJ2	7113
D3DSJ8	5152
D3DSJ9	5152
D3DSM1	3689
D3DSW4	25960
D3DSW8	1978
D3DT24	5586
D3DT73	1301
D3DT81	725
D3DT91	55733
D3DT99	5525
D3DTE4	10800
D3DTF5	10735
D3DTH3	29
D3DTH4	29
