PI3K-p85,PIK3R1/2,Validated,Rabbit,Upstate (Millipore),06-195,1:4000
PKC-pan_BetaII_pS660,PKC,Validated,Rabbit,CST,9371,1:75
PRDX1,PRDX1,Under Evaluation,Rabbit,Sigma/Atlas,HPA007730,1:1000
Rab11,RAB11A RAB11B,Under Evaluation,Rabbit,CST,3539,1:50
Raptor,RPTOR,Validated,Rabbit,CST,2280,1:250
RBM15,RBM15,Validated,Rabbit,SDI / Novus,21390002,1:10000
Rictor,RICTOR,UsewithCaution,Rabbit,CST,2114,1:200
Rictor_pT1135,RICTOR,Validated,Rabbit,CST,3806,1:200
SCD1,SCD1,Validated,Mouse,Santa Cruz,sc-58420,1:100
SF2,SFRS1,Validated,Mouse,Invitrogen,32-4500,1:100
TAZ,WWTR1,Validated,Rabbit,CST,2149,1:500
Transglutaminase,TGM2,Validated,Mouse,Lab Vision,MS-224,1:100
TFRC,TFRC,Validated,Rabbit,SDI / Novus,22500002,1:100
TSC1,TSC1,Use with Caution,Rabbit,CST,4906,1:100
Tuberin_pT1462,TSC2,Validated,Rabbit,CST,3617,1:500
VHL,VHL,Use with Caution,Mouse,BD Pharmingen,556347,1:3000
XBP1,XBP1,Use with Caution,Goat,Santa Cruz,sc-32136,1:100
TIGAR,C12ORF5,Under Evaluation,Rabbit,Epitomics,S1711,1:100
Acetyl-a-Tubulin (Lys40),,Under Evaluation,Rabbit,CST,5335,1:1500
p62 LCK ligand,SQSTM1,Under Evaluation,Mouse,BD Transduction Lab,610833,1:1500
ETS-1,ETS-1,Validated,Rabbit,BethYl,A303-501A,1:750
Rab25,Rab 25,Validated,Rabbit,CST,4314,1:250
