Gene stable ID,UniProtKB Gene Name ID
ENSG00000171729,B1AP03
ENSG00000171729,Q9NW97
ENSG00000171735,A0A0C4DGL0
ENSG00000171735,H0YJV1
ENSG00000171735,G3V297
ENSG00000171735,Q9Y6Y1
ENSG00000171819,O43827
ENSG00000171824,K7EJ37
ENSG00000171824,Q01780
ENSG00000173614,A0A024R4E1
ENSG00000173614,B1AN62
ENSG00000173614,Q9HAN9
ENSG00000175206,B0ZBE8
ENSG00000175206,A0A087X094
ENSG00000175206,P01160
ENSG00000175262,G8JLG8
ENSG00000175279,A0A0U1RQL5
ENSG00000175279,K7ESB0
ENSG00000175279,Q8N2Z9
ENSG00000177000,L7P8G6
ENSG00000177000,Q5SNW7
ENSG00000177000,Q5SNW5
ENSG00000177000,A0A1B0GXD9
ENSG00000177000,A0A286YF47
ENSG00000177000,A0A286YFD0
ENSG00000177000,A0A286YF17
ENSG00000177000,F8W9T8
ENSG00000177000,P42898
ENSG00000177674,X6R9H3
ENSG00000177674,D6RBK6
ENSG00000177674,D6RB40
ENSG00000177674,Q6RW13
ENSG00000178585,A0A024R4D7
ENSG00000178585,Q9NSA3
ENSG00000179172,O60812
ENSG00000179412,B7ZW38
ENSG00000179412,P0DMR1
ENSG00000180758,Q5UAW9
ENSG00000182330,Q5VWM4
ENSG00000187545,O60809
ENSG00000188807,Q5SNT2
ENSG00000188984,Q5VUY0
ENSG00000189337,B0QYQ6
ENSG00000189337,A0A1B0GWK2
ENSG00000189337,A0A1B0GTU0
ENSG00000189337,Q674X7
ENSG00000197241,Q6PXP3
ENSG00000198793,B1AKQ2
ENSG00000198793,B1AKP8
ENSG00000198793,P42345
ENSG00000204464
ENSG00000204478,Q5VT98
ENSG00000204479,Q5VTA0
ENSG00000204480,Q5SWL8
ENSG00000204481,A6NFR9
ENSG00000204501,Q5VWM5
ENSG00000204505,A0A096LNW4
ENSG00000204505,A0A1B0GU46
ENSG00000204510,Q5VXH5
ENSG00000204518,Q5VUY2
ENSG00000204624,Q9UJD7
ENSG00000204624,Q9P2K9
ENSG00000215910,Q5SNV9
ENSG00000229571,A0A0G2JN56
ENSG00000229571,A6NGN4
ENSG00000232423,Q5VXH4
ENSG00000239810,O60813
ENSG00000241563,O00230
ENSG00000243073,O60810
ENSG00000251503,A0A0U1RQL5
ENSG00000251503,A0A087WT10
ENSG00000270601,Q5TYX0
ENSG00000274764,A3QJZ7
ENSG00000275774,B2RXH8
ENSG00000277058,B7ZW38
ENSG00000277726,G3V162
ENSG00000279195,Q5VXH5
ENSG00000279804,Q5VWM3
ENSG00000280113
ENSG00000280267
ENSG00000009709,P23759
ENSG00000037637,X6RKU3
ENSG00000037637,Q6P3S6
ENSG00000040487,A0A024RAA1
ENSG00000040487,A0A024RAE3
ENSG00000040487,E9PL93
ENSG00000040487,A2A2E6
ENSG00000040487,E9PJZ6
ENSG00000040487,Q6ZP29
ENSG00000053371,V9HWA2
ENSG00000053371,H7C4Q7
ENSG00000053371,H3BLU7
ENSG00000053371,O43488
ENSG00000053372,A0A024RAE1
ENSG00000053372,Q9UKD2
ENSG00000055070,F8WDF4
ENSG00000055070,Q7Z422
ENSG00000058453,A0A087WU09
ENSG00000065526,F6WRY4
ENSG00000065526,Q96T58
ENSG00000070831,A0A024RAA5
ENSG00000070831,A0A024RAE6
